Scheduler,Scenario,TotalEnergy_kWh,EnergyPerTask_Wh,CompletedTasks,AvgCpuUtilisation_pct,ActiveCpuUtilisation_pct,ActiveVmCount,ActiveVmRatio_pct
RoundRobin,MorningPeak,3.729042,1.0673,3494,33.3890,96.6247,9,100.00
SJF,MorningPeak,3.522094,1.0162,3466,33.0109,96.2459,9,100.00
EnergyAware,MorningPeak,3.541571,1.0218,3466,33.0271,96.2201,9,100.00
MultiObjective,MorningPeak,15.064660,3.5834,4204,17.9891,57.3726,6,66.67
HybridMlMultiObjective,MorningPeak,15.825799,3.7272,4246,17.9778,54.9579,6,66.67
RoundRobin,EveningIdle,3.233046,1.7317,1867,60.4598,61.1707,9,100.00
SJF,EveningIdle,3.232167,1.7229,1876,58.7057,59.5541,9,100.00
EnergyAware,EveningIdle,3.232167,1.7229,1876,58.8803,59.7016,9,100.00
MultiObjective,EveningIdle,8.241830,3.6356,2267,25.5252,46.6126,6,66.67
HybridMlMultiObjective,EveningIdle,8.645194,3.7868,2283,24.8432,44.0670,6,66.67
RoundRobin,MixedDaily,19.599014,1.2926,15163,72.6432,73.7531,9,100.00
SJF,MixedDaily,19.986382,1.3132,15220,71.6638,73.6378,9,100.00
EnergyAware,MixedDaily,19.981179,1.3128,15220,71.6639,73.6453,9,100.00
MultiObjective,MixedDaily,68.135354,3.6996,18417,24.7586,47.0937,6,66.67
HybridMlMultiObjective,MixedDaily,71.571420,3.8483,18598,24.4614,46.0495,6,66.67
RoundRobin,FaultScenario,3.729042,1.0673,3494,33.3890,96.6247,9,100.00
SJF,FaultScenario,3.522094,1.0162,3466,33.0109,96.2459,9,100.00
EnergyAware,FaultScenario,3.541571,1.0218,3466,33.0271,96.2201,9,100.00
MultiObjective,FaultScenario,15.064660,3.5834,4204,17.9891,57.3726,6,66.67
HybridMlMultiObjective,FaultScenario,15.825799,3.7272,4246,17.9778,54.9579,6,66.67
RoundRobin,EnergyFlexibility,19.599014,1.2926,15163,72.6432,73.7531,9,100.00
SJF,EnergyFlexibility,19.986382,1.3132,15220,71.6638,73.6378,9,100.00
EnergyAware,EnergyFlexibility,19.981179,1.3128,15220,71.6639,73.6453,9,100.00
MultiObjective,EnergyFlexibility,68.135354,3.6996,18417,24.7586,47.0937,6,66.67
HybridMlMultiObjective,EnergyFlexibility,71.571420,3.8483,18598,24.4614,46.0495,6,66.67
