Scheduler,Scenario,TotalTasks,CompletedTasks,FailedTasks,Makespan_s,Throughput_tasks_per_s,SlaViolations,SlaViolationRate_pct,TotalEnergy_kWh,EnergyPerTask_Wh,AvgCpuUtilisation_pct,ActiveCpuUtilisation_pct,ActiveVmCount,ActiveVmRatio_pct,FailedHosts,RecoveredCloudlets,RecoveryTime_s
RoundRobin,MorningPeak,4558,3494,1064,41892.238,0.083404,1465,32.14,3.729042,1.0673,33.3890,96.6247,9,100.00,0,0,0.000
SJF,MorningPeak,4558,3466,1092,40964.485,0.084610,1461,32.05,3.522094,1.0162,33.0109,96.2459,9,100.00,0,0,0.000
EnergyAware,MorningPeak,4558,3466,1092,41051.631,0.084430,1464,32.12,3.541571,1.0218,33.0271,96.2201,9,100.00,0,0,0.000
MultiObjective,MorningPeak,4558,4204,354,92610.141,0.045395,1904,41.77,15.064660,3.5834,17.9891,57.3726,6,66.67,0,0,0.000
HybridMlMultiObjective,MorningPeak,4558,4246,312,96015.759,0.044222,1924,42.21,15.825799,3.7272,17.9778,54.9579,6,66.67,0,0,0.000
RoundRobin,EveningIdle,2468,1867,601,14479.044,0.128945,606,24.55,3.233046,1.7317,60.4598,61.1707,9,100.00,0,0,0.000
SJF,EveningIdle,2468,1876,592,14488.330,0.129484,598,24.23,3.232167,1.7229,58.7057,59.5541,9,100.00,0,0,0.000
EnergyAware,EveningIdle,2468,1876,592,14488.330,0.129484,598,24.23,3.232167,1.7229,58.8803,59.7016,9,100.00,0,0,0.000
MultiObjective,EveningIdle,2468,2267,201,36890.172,0.061453,266,10.78,8.241830,3.6356,25.5252,46.6126,6,66.67,0,0,0.000
HybridMlMultiObjective,EveningIdle,2468,2283,185,38635.481,0.059091,254,10.29,8.645194,3.7868,24.8432,44.0670,6,66.67,0,0,0.000
RoundRobin,MixedDaily,20000,15163,4837,87722.731,0.172851,10567,52.84,19.599014,1.2926,72.6432,73.7531,9,100.00,0,0,0.000
SJF,MixedDaily,20000,15220,4780,89486.371,0.170082,10606,53.03,19.986382,1.3132,71.6638,73.6378,9,100.00,0,0,0.000
EnergyAware,MixedDaily,20000,15220,4780,89463.090,0.170126,10589,52.95,19.981179,1.3128,71.6639,73.6453,9,100.00,0,0,0.000
MultiObjective,MixedDaily,20000,18417,1583,304892.062,0.060405,14137,70.69,68.135354,3.6996,24.7586,47.0937,6,66.67,0,0,0.000
HybridMlMultiObjective,MixedDaily,20000,18598,1402,320115.607,0.058098,14371,71.86,71.571420,3.8483,24.4614,46.0495,6,66.67,0,0,0.000
RoundRobin,FaultScenario,4558,3494,1064,41892.238,0.083404,1465,32.14,3.729042,1.0673,33.3890,96.6247,9,100.00,6,0,0.000
SJF,FaultScenario,4558,3466,1092,40964.485,0.084610,1461,32.05,3.522094,1.0162,33.0109,96.2459,9,100.00,6,0,0.000
EnergyAware,FaultScenario,4558,3466,1092,41051.631,0.084430,1464,32.12,3.541571,1.0218,33.0271,96.2201,9,100.00,6,0,0.000
MultiObjective,FaultScenario,4558,4204,354,92610.141,0.045395,1904,41.77,15.064660,3.5834,17.9891,57.3726,6,66.67,6,0,0.000
HybridMlMultiObjective,FaultScenario,4558,4246,312,96015.759,0.044222,1924,42.21,15.825799,3.7272,17.9778,54.9579,6,66.67,6,0,0.000
RoundRobin,EnergyFlexibility,20000,15163,4837,87722.731,0.172851,10567,52.84,19.599014,1.2926,72.6432,73.7531,9,100.00,0,0,0.000
SJF,EnergyFlexibility,20000,15220,4780,89486.371,0.170082,10606,53.03,19.986382,1.3132,71.6638,73.6378,9,100.00,0,0,0.000
EnergyAware,EnergyFlexibility,20000,15220,4780,89463.090,0.170126,10589,52.95,19.981179,1.3128,71.6639,73.6453,9,100.00,0,0,0.000
MultiObjective,EnergyFlexibility,20000,18417,1583,304892.062,0.060405,14137,70.69,68.135354,3.6996,24.7586,47.0937,6,66.67,0,0,0.000
HybridMlMultiObjective,EnergyFlexibility,20000,18598,1402,320115.607,0.058098,14371,71.86,71.571420,3.8483,24.4614,46.0495,6,66.67,0,0,0.000
