task_id,arrival_time_sec,arrival_hour,type,priority,length_mi,cpu_cores,ram_mb,data_size_mb,deadline_sec,deadline_rel_sec,data_region
1,52326,14,ROUTINE,2,163113,7,6242,162,63934,11608,EU-WEST
2,30835,8,CRITICAL,3,572739,4,2860,160,39440,8605,EU-WEST
3,77307,21,ROUTINE,2,508553,5,4483,1555,87906,10599,EU-WEST
4,89865,24,ROUTINE,3,130080,4,5845,161,108582,18717,EU-CENTRAL
5,62147,17,CRITICAL,4,139995,4,3932,22,68548,6401,EU-WEST
6,41994,11,ROUTINE,3,168881,8,7813,147,60994,19000,US-EAST
7,68092,18,ROUTINE,3,31443,1,2440,678,81200,13108,US-EAST
8,47091,13,ROUTINE,3,209934,4,5832,100,64290,17199,US-EAST
9,64018,17,ROUTINE,1,134514,2,1369,1953,72818,8800,EU-CENTRAL
10,29946,8,ROUTINE,1,42370,2,2521,1812,37556,7610,EU-CENTRAL
11,89431,24,ROUTINE,3,81966,2,2158,137,104740,15309,EU-WEST
12,45471,12,ROUTINE,3,54351,3,3870,226,54966,9495,EU-WEST
13,77776,21,ROUTINE,2,544917,8,7569,81,88301,10525,EU-WEST
14,46730,12,ROUTINE,2,515042,5,6337,143,58643,11913,US-EAST
15,67441,18,ROUTINE,3,43904,3,4343,193,79256,11815,US-EAST
16,64585,17,ROUTINE,3,15766,2,3889,179,76075,11490,US-EAST
17,79308,22,ROUTINE,3,34085,1,1170,42,91308,12000,EU-CENTRAL
18,31108,8,ROUTINE,2,58645,4,3444,138,38330,7222,EU-CENTRAL
19,34366,9,CRITICAL,4,88726,2,2706,245,39283,4917,EU-WEST
20,44788,12,CRITICAL,3,374676,5,5153,401,53427,8639,US-EAST
21,70415,19,ROUTINE,2,166701,4,5259,23,90325,19910,EU-WEST
22,32221,8,CRITICAL,5,51380,4,4461,976,36085,3864,EU-CENTRAL
23,86586,24,ROUTINE,3,54269,4,3839,161,94935,8349,US-EAST
24,66466,18,ROUTINE,2,542272,8,7449,155,78660,12194,US-EAST
25,61649,17,CRITICAL,3,239276,4,4709,233,68509,6860,EU-WEST
26,77159,21,CRITICAL,5,33402,1,2162,16,80586,3427,EU-CENTRAL
27,68494,19,ROUTINE,2,209699,5,4577,96,76894,8400,US-EAST
28,79272,22,ROUTINE,3,22358,2,3967,241,94324,15052,US-EAST
29,47955,13,CRITICAL,3,15323,2,1793,195,49895,1940,EU-CENTRAL
30,41639,11,ROUTINE,3,121783,3,3614,142,54355,12716,EU-WEST
31,59365,16,CRITICAL,4,184608,6,3682,146,65526,6161,US-EAST
32,56684,15,ROUTINE,2,147808,4,2437,51,63389,6705,EU-CENTRAL
33,64300,17,ROUTINE,3,377927,6,3356,32,79399,15099,EU-WEST
34,82825,23,CRITICAL,4,34183,2,3086,69,85732,2907,EU-WEST
35,32912,9,CRITICAL,3,94363,2,2457,180,38218,5306,EU-WEST
36,53191,14,ROUTINE,2,584726,8,7541,1758,63122,9931,US-EAST
37,47146,13,ROUTINE,1,47276,3,2842,260,53435,6289,EU-CENTRAL
38,42683,11,CRITICAL,5,35707,2,3833,286,45756,3073,EU-WEST
39,29456,8,ROUTINE,1,52028,3,4181,1159,37337,7881,EU-CENTRAL
40,54000,15,CRITICAL,3,29941,1,3341,196,56494,2494,EU-CENTRAL
41,66189,18,ROUTINE,1,595828,8,6633,38,83495,17306,US-EAST
42,46793,12,ROUTINE,3,60609,2,4477,277,62357,15564,EU-CENTRAL
43,71790,19,ROUTINE,2,120034,2,3379,12,85304,13514,US-EAST
44,66229,18,ROUTINE,3,342541,5,5873,134,76798,10569,EU-WEST
45,82780,22,ROUTINE,3,104110,3,1911,291,96511,13731,EU-WEST
46,66850,18,ROUTINE,3,497305,5,3186,265,85534,18684,EU-WEST
47,27101,7,ROUTINE,2,110782,3,4042,329,38591,11490,US-EAST
48,68843,19,ROUTINE,1,36206,1,1897,229,74050,5207,EU-WEST
49,45908,12,ROUTINE,3,37473,1,2314,1907,59906,13998,EU-WEST
50,54974,15,ROUTINE,3,209014,6,4819,67,68109,13135,EU-CENTRAL
51,48369,13,ROUTINE,2,213625,6,3486,1352,68358,19989,US-EAST
52,80056,22,CRITICAL,3,35365,1,4226,293,85647,5591,EU-WEST
53,31085,8,CRITICAL,5,34329,2,1480,216,33281,2196,EU-WEST
54,30308,8,CRITICAL,3,50277,3,3516,90,32300,1992,EU-WEST
55,77355,21,ROUTINE,2,39404,2,2777,300,81784,4429,EU-CENTRAL
56,44072,12,CRITICAL,4,5133,1,4255,148,45827,1755,EU-WEST
57,32074,8,ROUTINE,3,428388,5,4527,44,46441,14367,EU-WEST
58,71364,19,ROUTINE,2,169322,7,5473,74,89896,18532,US-EAST
59,77898,21,CRITICAL,3,12503,1,2455,155,79829,1931,EU-CENTRAL
60,47395,13,ROUTINE,1,11383,1,3219,149,51796,4401,EU-WEST
61,70704,19,ROUTINE,1,164031,8,4396,216,80355,9651,EU-CENTRAL
62,58538,16,CRITICAL,3,15940,1,1500,134,60955,2417,EU-CENTRAL
63,35376,9,ROUTINE,2,44215,4,4534,142,50519,15143,US-EAST
64,73298,20,ROUTINE,1,32197,2,2783,1639,87154,13856,EU-CENTRAL
65,28615,7,ROUTINE,3,12289,2,3272,394,42744,14129,US-EAST
66,69898,19,CRITICAL,3,146484,4,4035,246,78029,8131,US-EAST
67,77401,21,ROUTINE,3,51490,4,5811,261,89901,12500,EU-WEST
68,46955,13,CRITICAL,4,106995,4,5215,108,54394,7439,EU-WEST
69,24080,6,ROUTINE,1,536634,5,3033,257,33695,9615,EU-WEST
70,88509,24,CRITICAL,4,34303,2,3816,102,90025,1516,EU-CENTRAL
71,58533,16,CRITICAL,5,51407,4,3342,222,63900,5367,EU-WEST
72,31433,8,ROUTINE,3,53124,2,2351,262,48177,16744,EU-WEST
73,40768,11,ROUTINE,2,220404,4,2690,695,54030,13262,EU-CENTRAL
74,76170,21,ROUTINE,2,232888,5,4540,293,89485,13315,US-EAST
75,26673,7,ROUTINE,2,8699,2,3392,153,32177,5504,US-EAST
76,27661,7,ROUTINE,3,234376,6,4482,480,39272,11611,EU-WEST
77,31060,8,ROUTINE,3,43257,2,2715,222,37459,6399,EU-WEST
78,31260,8,ROUTINE,2,152766,5,5333,195,43726,12466,EU-CENTRAL
79,53333,14,ROUTINE,1,49131,3,2334,29,66600,13267,EU-CENTRAL
80,21907,6,ROUTINE,2,474426,6,5027,264,37973,16066,US-EAST
81,46917,13,ROUTINE,3,403927,6,6451,830,62029,15112,EU-CENTRAL
82,49947,13,ROUTINE,3,205622,7,5656,43,71084,21137,US-EAST
83,75227,20,CRITICAL,5,528299,8,5383,240,83246,8019,US-EAST
84,26208,7,ROUTINE,3,15037,2,1785,182,32728,6520,US-EAST
85,35786,9,CRITICAL,3,47558,2,3227,261,39144,3358,EU-CENTRAL
86,48875,13,CRITICAL,4,425391,6,4889,32,59750,10875,EU-WEST
87,60318,16,CRITICAL,5,207848,8,7632,124,66721,6403,EU-CENTRAL
88,70652,19,ROUTINE,3,41521,3,5158,508,86500,15848,EU-CENTRAL
89,66239,18,ROUTINE,1,170974,8,4723,119,83690,17451,EU-CENTRAL
90,74394,20,ROUTINE,1,40300,4,4764,1677,81145,6751,US-EAST
91,76534,21,CRITICAL,3,53195,4,5490,170,78888,2354,EU-WEST
92,87076,24,ROUTINE,3,56950,2,3752,1817,102670,15594,EU-WEST
93,87232,24,CRITICAL,3,230720,8,6483,211,97639,10407,US-EAST
94,47004,13,ROUTINE,2,30290,2,2387,151,51859,4855,US-EAST
95,72696,20,CRITICAL,4,586384,4,5861,241,84369,11673,EU-CENTRAL
96,40533,11,ROUTINE,2,557561,8,5620,1777,60638,20105,EU-WEST
97,74341,20,CRITICAL,3,32100,1,867,102,77129,2788,EU-WEST
98,76226,21,ROUTINE,2,59760,2,1842,20,80157,3931,EU-CENTRAL
99,27466,7,ROUTINE,1,54362,3,2314,145,41655,14189,US-EAST
100,61017,16,CRITICAL,3,296508,4,5717,1602,70479,9462,US-EAST
101,63546,17,ROUTINE,1,189356,7,7375,120,76269,12723,EU-CENTRAL
102,81900,22,ROUTINE,3,192408,7,5025,616,102351,20451,US-EAST
103,28231,7,CRITICAL,5,203344,6,5373,1124,37589,9358,US-EAST
