task_id,arrival_time_sec,arrival_hour,type,priority,length_mi,cpu_cores,ram_mb,data_size_mb,deadline_sec,deadline_rel_sec,data_region
1,75010,20,ROUTINE,2,16714,2,1996,556,87771,12761,EU-CENTRAL
2,85147,23,CRITICAL,4,520244,6,3540,134,96156,11009,EU-WEST
3,36260,10,ROUTINE,1,65150,4,4395,612,51170,14910,EU-WEST
4,36320,10,ROUTINE,2,32629,1,2984,22,54555,18235,EU-WEST
5,38404,10,ROUTINE,3,463846,4,2353,112,62219,23815,EU-CENTRAL
6,25647,7,ROUTINE,1,173742,2,3496,23,44638,18991,EU-WEST
7,34894,9,CRITICAL,4,302770,8,4829,127,44156,9262,EU-CENTRAL
8,48536,13,ROUTINE,1,32660,1,3007,181,57522,8986,EU-WEST
9,51985,14,ROUTINE,1,41501,1,3916,81,67741,15756,US-EAST
10,39542,10,ROUTINE,1,12575,1,1870,15,56861,17319,EU-WEST
11,30766,8,CRITICAL,4,186782,8,6553,135,36425,5659,US-EAST
12,63293,17,CRITICAL,5,43060,2,5124,159,67388,4095,EU-WEST
13,29556,8,CRITICAL,3,20658,1,1034,84,32693,3137,EU-WEST
14,9067,2,ROUTINE,2,27461,2,3155,188,22078,13011,EU-CENTRAL
15,57611,16,CRITICAL,4,169162,3,1668,691,64198,6587,US-EAST
16,60416,16,ROUTINE,2,110850,3,3358,98,77339,16923,EU-WEST
17,63287,17,ROUTINE,3,157547,2,1579,203,74643,11356,EU-CENTRAL
18,75632,21,CRITICAL,4,86340,4,4879,195,80133,4501,EU-WEST
19,32597,9,ROUTINE,2,55305,3,1802,12,51393,18796,US-EAST
20,64472,17,ROUTINE,1,205317,6,3696,17,78928,14456,US-EAST
21,41388,11,ROUTINE,2,35339,1,1857,934,59899,18511,EU-WEST
22,40657,11,CRITICAL,5,214940,7,6455,154,47618,6961,US-EAST
23,37913,10,CRITICAL,4,149901,3,5063,154,42486,4573,EU-CENTRAL
24,60393,16,ROUTINE,2,134391,4,2977,419,68567,8174,US-EAST
25,36539,10,CRITICAL,4,19057,2,4182,712,40399,3860,EU-WEST
26,56957,15,ROUTINE,2,14703,1,2202,71,71768,14811,EU-CENTRAL
27,7855,2,ROUTINE,3,59784,4,2896,106,20166,12311,US-EAST
28,2342,0,ROUTINE,1,370989,6,4638,2781,28314,25972,US-EAST
29,63020,17,CRITICAL,4,32718,2,1307,160,67360,4340,EU-WEST
30,75989,21,ROUTINE,2,66985,4,5835,59,87718,11729,US-EAST
31,20778,5,ROUTINE,2,60654,4,3306,534,33969,13191,EU-WEST
32,61062,16,ROUTINE,1,188649,5,3393,23,79392,18330,US-EAST
33,35983,9,ROUTINE,3,56957,2,1958,4603,54305,18322,EU-CENTRAL
34,24907,6,ROUTINE,2,9497,2,3371,88,30276,5369,US-EAST
35,60731,16,ROUTINE,1,88069,2,3089,104,77103,16372,EU-WEST
36,63206,17,ROUTINE,3,396879,5,3491,71,76798,13592,EU-WEST
37,54929,15,ROUTINE,1,51270,2,2542,14,71079,16150,EU-WEST
38,56845,15,CRITICAL,5,95050,4,5071,18,63746,6901,EU-WEST
39,32782,9,CRITICAL,5,194090,4,2973,152,41196,8414,EU-WEST
40,51314,14,ROUTINE,1,60011,3,3741,868,62741,11427,EU-CENTRAL
41,60912,16,ROUTINE,2,50450,2,4845,905,75160,14248,EU-WEST
42,34603,9,ROUTINE,2,175593,3,3843,39,47607,13004,US-EAST
43,34078,9,ROUTINE,1,49157,1,2860,185,50515,16437,EU-WEST
44,35910,9,ROUTINE,2,205571,8,7657,139,55995,20085,US-EAST
45,33866,9,CRITICAL,3,160405,3,3687,59,41164,7298,EU-WEST
46,29843,8,ROUTINE,2,85057,3,4791,99,38776,8933,US-EAST
47,72266,20,ROUTINE,1,207702,4,4109,38,86885,14619,EU-WEST
48,11225,3,ROUTINE,2,184372,7,6894,5679,32390,21165,EU-WEST
49,78005,21,CRITICAL,4,527629,6,3919,5509,88437,10432,EU-WEST
50,37200,10,ROUTINE,1,12685,2,4519,203,54642,17442,EU-CENTRAL
51,70033,19,ROUTINE,2,34580,2,4768,1172,75085,5052,EU-CENTRAL
52,38112,10,CRITICAL,3,207722,6,4543,211,47028,8916,US-EAST
53,24712,6,ROUTINE,3,23357,2,3886,73,37923,13211,EU-WEST
54,13132,3,ROUTINE,1,57401,2,2468,69,30234,17102,EU-WEST
55,50323,13,ROUTINE,2,67381,4,4276,133,67138,16815,US-EAST
56,41476,11,ROUTINE,1,248591,7,6270,165,53501,12025,EU-CENTRAL
57,58790,16,ROUTINE,2,187573,7,4275,203,80867,22077,EU-WEST
58,51638,14,CRITICAL,4,108037,4,3690,44,57266,5628,US-EAST
59,28961,8,CRITICAL,3,33568,1,4346,775,31728,2767,EU-WEST
60,29430,8,CRITICAL,4,170501,3,2552,123,36007,6577,EU-WEST
